player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
R. Watson,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,1,5,3,1,0,1,15,10,66.7,0,13,3.5,0.2,0.0,3.7,players_2025_11_02_UNCW.pdf
N. Gold,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,6,0,14,2,0,64,49,76.6,0,13,16.0,0.0,0.0,16.0,players_2025_11_02_UNCW.pdf
J. Watson,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,1,0,0,0,0,27,26,96.3,0,3,0.0,0.0,0.0,0.0,players_2025_11_02_UNCW.pdf
J. Jordheim,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,2,15,8,9,4,2,50,40,80.0,0,23,19.0,0.4,0.0,19.4,players_2025_11_02_UNCW.pdf
J. Barrett,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,10,5,2,0,0,19,13,68.4,0,16,4.5,0.0,0.0,4.5,players_2025_11_02_UNCW.pdf
E. White,2,1,UNCW Seahawks,02.11.2025,1,1,1,0,1,7,6,6,1,1,42,26,61.9,0,18,11.0,3.7,0.0,14.7,players_2025_11_02_UNCW.pdf
H. Walker,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,5,1,6,0,1,36,29,80.6,0,6,7.5,0.0,0.0,7.5,players_2025_11_02_UNCW.pdf
B. Bagshaw,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,2,2,2,0,0,12,9,75.0,0,5,3.0,0.0,0.0,3.0,players_2025_11_02_UNCW.pdf
M. Lenert,2,1,UNCW Seahawks,02.11.2025,1,1,1,0,3,10,4,2,0,0,17,13,76.5,0,22,4.0,4.1,0.0,8.1,players_2025_11_02_UNCW.pdf
L. Gill,2,1,UNCW Seahawks,02.11.2025,3,3,0,0,1,11,3,3,1,0,13,7,53.8,0,19,5.5,9.2,0.0,14.7,players_2025_11_02_UNCW.pdf
I. Salifu,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,3,1,1,1,0,21,17,81.0,0,7,2.5,0.0,0.0,2.5,players_2025_11_02_UNCW.pdf
S. Bendvold,2,1,UNCW Seahawks,02.11.2025,1,1,1,0,4,6,2,3,0,0,25,17,68.0,0,10,4.0,4.3,0.0,8.3,players_2025_11_02_UNCW.pdf
R. Ray,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,1,3,2,4,0,0,15,10,66.7,0,6,5.0,0.2,0.0,5.2,players_2025_11_02_UNCW.pdf
B. Baldwin,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,4,2,2,0,0,9,8,88.9,0,6,3.0,0.0,0.0,3.0,players_2025_11_02_UNCW.pdf
D. Toulson,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,8,7,2,1,0,17,11,64.7,0,13,6.5,0.0,0.0,6.5,players_2025_11_02_UNCW.pdf
C. Hughes,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,5,3,1,0,0,2,1,50.0,0,7,2.5,0.0,0.0,2.5,players_2025_11_02_UNCW.pdf
P. Dashin,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,1,4,0,0,0,0,3,3,100.0,0,9,0.0,0.2,0.0,0.2,players_2025_11_02_UNCW.pdf
C. Crockford,2,1,UNCW Seahawks,02.11.2025,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0,3,2.0,0.0,0.0,2.0,players_2025_11_02_UNCW.pdf
E. Emanuele,2,1,UNCW Seahawks,02.11.2025,1,1,1,0,0,1,0,0,1,0,5,3,60.0,0,3,1.0,3.5,0.0,4.5,players_2025_11_02_UNCW.pdf
