name,number,pos,group
J. Schumacher,0,GK,GK
N. Gold,23,CB,DEF
B. Baldwin,16,CB,DEF
J. Jordheim,3,CB,DEF
J. Watson,25,CB,DEF
R. Watson,17,RB,DEF
J. Barrett,2,LB,DEF
D. Toulson,4,LB,DEF
R. Ray,20,RB,DEF
C. Crockford,12,RB,DEF
E. White,8,DMF,MID
H. Walker,18,CMF,MID
S. Bendvold,15,CMF,MID
I. Salifu,6,DMF,MID
E. Emanuele,14,DMF,MID
B. Bagshaw,19,RW,ATT
M. Lenert,11,LW,ATT
C. Hughes,7,RW,ATT
L. Gill,10,CF,ATT
P. Dashin,9,CF,ATT
